iter	Passed	Remaining
1634	9010	7522
1635	9015	7516
1636	9019	7509
1637	9023	7503
1638	9028	7496
1639	9032	7490
1640	9037	7484
1641	9041	7477
1642	9045	7471
1643	9049	7464
1644	9054	7458
1645	9058	7451
1646	9063	7445
1647	9067	7439
1648	9071	7432
1649	9076	7425
1650	9080	7419
1651	9084	7413
1652	9089	7406
1653	9093	7400
1654	9097	7393
1655	9102	7387
1656	9122	7393
1657	9203	7449
1658	9209	7444
1659	9215	7439
1660	9223	7435
1661	9237	7436
1662	9244	7432
1663	9250	7427
1664	9255	7421
1665	9260	7414
1666	9264	7408
1667	9269	7402
1668	9273	7395
1669	9278	7389
1670	9283	7383
1671	9287	7376
1672	9291	7369
1673	9295	7363
1674	9300	7356
